,Parent,Child,ParentGeneName,ChildGeneName
16686,ENSG00000204160,ENSG00000128594,ZDHHC18,LRRC4
16687,ENSG00000204160,ENSG00000143226,ZDHHC18,FCGR2A
16688,ENSG00000204160,ENSG00000188315,ZDHHC18,C3orf62
16689,ENSG00000204160,ENSG00000158769,ZDHHC18,F11R
16690,ENSG00000204160,ENSG00000111843,ZDHHC18,TMEM14C
16691,ENSG00000204160,ENSG00000105501,ZDHHC18,SIGLEC5
16692,ENSG00000204160,ENSG00000002919,ZDHHC18,SNX11
16693,ENSG00000171488,ENSG00000176273,LRRC8C,SLC35G1
16694,ENSG00000171488,ENSG00000147044,LRRC8C,CASK
16695,ENSG00000171488,ENSG00000251034,LRRC8C,RP11-582J16.4
16696,ENSG00000171488,ENSG00000261098,LRRC8C,RP11-819C21.1
16697,ENSG00000213699,ENSG00000108785,C2orf18,HSD17B1P1
16698,ENSG00000106636,ENSG00000143119,YKT6,CD53
16699,ENSG00000125630,ENSG00000167721,POLR1B,TSR1
16700,ENSG00000166938,ENSG00000099822,DIS3L,HCN2
16701,ENSG00000205930,ENSG00000178015,C21orf49,GPR150
16702,ENSG00000106785,ENSG00000072121,TRIM14,ZFYVE26
16703,ENSG00000138316,ENSG00000131037,ADAMTS14,EPS8L1
16704,ENSG00000269858,ENSG00000267493,EGLN2,CIRBP-AS1
16705,ENSG00000171453,ENSG00000117906,POLR1C,RCN2
16706,ENSG00000171453,ENSG00000139428,POLR1C,MMAB
16707,ENSG00000171453,ENSG00000160563,POLR1C,MED27
16708,ENSG00000171453,ENSG00000091732,POLR1C,ZC3HC1
16709,ENSG00000215375,ENSG00000169026,MYL5,MFSD7
16710,ENSG00000139636,ENSG00000148296,LMBR1L,SURF6
